CODIGO_IES,AÑO,SEMESTRE,AUXILIAR,TECNICO,PROFESIONAL,DIRECTIVO,TOTAL
2106,2019,2,3,20,28,11,62
3817,2019,2,13,21,46,21,101
9102,2019,1,89,44,58,16,207
9129,2019,1,0,1,0,1,2
9129,2019,1,0,5,3,0,8
2842,2019,1,0,0,6,3,9
3812,2019,1,17,8,13,4,42
2903,2019,1,6,16,47,7,76
3801,2019,1,0,0,0,1,1
3801,2019,1,0,0,0,1,1
3801,2019,1,0,0,0,1,1
3801,2019,1,1,0,2,1,4
1807,2019,1,3,1,1,1,6
1807,2019,1,2,22,1,0,25
1807,2019,1,2,3,2,1,8
1807,2019,1,2,1,2,1,6
1807,2019,1,2,1,2,0,5
1807,2019,1,5,1,2,0,8
1807,2019,1,3,1,2,0,6
2827,2019,1,23,48,42,4,117
1806,2019,1,0,8,7,1,16
1806,2019,1,0,6,6,1,13
2743,2019,2,3,1,1,0,5
3107,2019,2,2,0,0,0,2
3107,2019,2,5,1,1,0,7
3107,2019,2,5,5,7,1,18
1203,2019,2,680,254,366,14,1314
1815,2019,2,0,0,1,0,1
1815,2019,2,1,0,1,0,2
1815,2019,2,0,0,3,1,4
